8 9 E 4 C 3 0 1 B D A 2 5 6 F 7 
0 F 3 D A 7 2 B 6 E 9 5 C 4 1 8 
2 A 1 C F 6 5 8 4 0 3 7 E B 9 D 
6 B 5 7 E D 4 9 1 F C 8 3 2 0 A 
C 6 B 5 7 9 E 0 F 4 8 1 2 D A 3 
3 4 F A 1 C 6 D 2 5 0 B 9 7 8 E 
7 0 8 2 3 A F 4 E 9 D C 6 1 B 5 
E D 9 1 5 B 8 2 A 6 7 3 0 F 4 C 
A E 0 6 B 4 D 3 7 C 1 F 8 9 5 2 
D 8 7 F 9 E 1 6 0 2 5 A B C 3 4 
1 3 2 9 0 8 C 5 D B E 4 F A 7 6 
4 5 C B 2 F A 7 8 3 6 9 1 E D 0 
B C 4 8 6 1 9 A 3 7 2 0 D 5 E F 
F 2 A 3 D 5 7 C 9 8 B E 4 0 6 1 
9 1 D 0 4 2 3 E 5 A F 6 7 8 C B 
5 7 6 E 8 0 B F C 1 4 D A 3 2 9 
